No Revisions Needed,No Revision Email Sent,Revisions Needed,Revision Email Sent,Revisions Recieved,Revisions Incorporated,grant_id,grantee_name,Grantee First Name,Grantee Last Name,Grantee Email,FPO Name,FPO Email,gpra_1_target_y2,gpra_1_actual_y2,gpra_2_target_y2,gpra_2_actual_y2,gpra_3_target_y2_ratio,gpra_3_actual_y2_ratio,gpra_4_target_y2,gpra_4_actual_y2,gpra_5_target_y2,gpra_5_actual_y2,Revisions Needed?,Type of Revisions Needed,Has the Executive Summary been included?,GPRA 1 Explanation of Progress,GPRA 2 Explanation of Progress,GPRA 3 Explanation of Progress,GPRA 4 Explanation of Progress,GPRA 5 Explanation of Progress,Column32,Column33,Modified By,Modified,gpra_3_target_y2,gpra_3_actual_y2,meeting_targets
1.0,1.0,,,,,S184H99001011,Elmwood State Department of Education,Sage,Anderson,sage.anderson@example.edu,"Rivera, Dana",dana.rivera@agency.gov,2.0,2.0,11.0,10.0,10159/46,10092/46,2.0,1.0,7000.0,10092.0,No,,Yes,"Yes, includes both","Yes, includes activities and strategies used to support retention","Yes, includes the ratio of students to providers within each participating LEA.","Yes, includes number of providers at the start of the reporting period and how many left.","Yes, includes what services were provided and how grant or matching funds supported them.",,,Dana Rivera,2025-06-02 07:02:51,220.84782608695653,219.3913043478261,3
1.0,1.0,,,,,S184H99001012,Fairview Unified School District,Blake,Taylor,blake.taylor@example.edu,"Nguyen, Chris",chris.nguyen@agency.gov,10.0,1.0,10.0,9.0,275/1,8737/29,0.0,0.0,437.0,516.0,Maybe,GPRA 3 target is reported as a simplified ratio (275/1); the actual ratio data is reported correctly (8737/29),Yes,"Yes, includes both","Yes, includes activities and strategies used to support retention","Yes, includes the ratio of students to providers within each participating LEA.","Yes, includes all of these.","Yes, includes what services were provided and how grant or matching funds supported them.",,,Chris Nguyen,2025-06-02 07:02:51,275.0,301.2758620689655,3
1.0,1.0,,,,,S184H99001013,Greenfield Community School District,Hayden,Thomas,hayden.thomas@example.edu,"Patel, Sam",sam.patel@agency.gov,95.0,114.0,107.0,90.0,177000/958,181701/939,1.0,97.0,177000.0,181701.0,No,,Yes,"Yes, includes both","Yes, includes activities and strategies used to support retention","No, does not include the ratio of students to providers within each participating LEA.","Yes, includes reasons for attrition.","Yes, includes what services were provided and how grant or matching funds supported them.",,,Sam Patel,2025-06-02 07:02:51,184.75991649269312,193.5047923322684,3
1.0,1.0,,,,,S184H99001014,Hillside County Schools,Cameron,Jackson,cameron.jackson@example.edu,"Kim, Terry",terry.kim@agency.gov,16.0,3.0,11.0,13.0,7873/28,7890/47,0.0,3.0,7873.0,7890.0,No,,Yes,"Yes, includes both","Yes, includes activities and strategies used to support retention","Yes, includes the ratio of students to providers within each participating LEA.","Yes, includes all of these.","Yes, includes what services were provided and how grant or matching funds supported them.",,,Terry Kim,2025-06-02 07:02:51,281.17857142857144,167.87234042553192,2
1.0,1.0,,,,,S184H99001015,Ironwood Public Schools,Peyton,White,peyton.white@example.edu,"Chen, Pat",pat.chen@agency.gov,0.0,2.0,5.0,3.0,11500/12,12088/12,0.0,2.0,336.0,530.0,No,,Yes,"Yes, includes number of providers","Yes, includes activities and strategies used to support retention","Yes, includes the ratio of students to providers within each participating LEA.","Yes, includes reasons for attrition.","Yes, includes what services were provided and how grant or matching funds supported them.",,,Pat Chen,2025-06-02 07:02:51,958.3333333333334,1007.3333333333334,3
1.0,1.0,,,,,S184H99001016,Juniper Valley School District,Sydney,Harris,sydney.harris@example.edu,"Martinez, Jamie",jamie.martinez@agency.gov,3.0,4.0,51.0,48.0,10684/52,10684/52,0.0,3.0,10684.0,10684.0,No,,Yes,"Yes, includes both","Yes, includes activities and strategies used to support retention","Yes, includes the ratio of students to providers within each participating LEA.","Yes, includes all of these.","Yes, includes what services were provided and how grant or matching funds supported them.",,,Jamie Martinez,2025-06-02 07:02:51,205.46153846153845,205.46153846153845,3
1.0,1.0,,,,,S184H99001017,Kingsview Unified School District,Harper,Martin,harper.martin@example.edu,"Robinson, Robin",robin.robinson@agency.gov,8.0,8.0,16.0,13.0,4390/19,4258/32,0.0,3.0,2854.0,4258.0,No,none,Yes,"Yes, includes both","Yes, includes activities and strategies used to support retention","Yes, includes the ratio of students to providers within each participating LEA.","Yes, includes all of these.","Yes, includes what services were provided and how grant or matching funds supported them.",,,Robin Robinson,2025-06-02 07:02:51,231.05263157894737,133.0625,2
1.0,1.0,,,,,S184H99001018,Lakeshore City Schools,Emerson,Thompson,emerson.thompson@example.edu,"Clark, Jesse",jesse.clark@agency.gov,23.0,6.0,6.0,44.0,28443/160,29259/181,0.0,5.0,1000.0,3279.0,No,none,Yes,"Yes, includes both","Yes, includes activities and strategies used to support retention","Yes, includes the ratio of students to providers within each participating LEA.","Yes, includes all of these.","Yes, includes what services were provided and how grant or matching funds supported them.",,,Jesse Clark,2025-06-02 07:02:51,177.76875,161.65193370165747,2
1.0,1.0,,,,,S184H99001019,Millbrook County School District,Logan,Lee,logan.lee@example.edu,"Lewis, Kendall",kendall.lewis@agency.gov,1.0,4.0,10.0,12.0,12599/83,12599/70,0.0,1.0,278.0,628.0,No,,Yes,"Yes, includes both","Yes, includes activities and strategies used to support retention","Yes, includes the ratio of students to providers within each participating LEA.","Yes, includes reasons for attrition.","Yes, includes what services were provided and how grant or matching funds supported them.",,,Kendall Lewis,2025-06-02 07:02:51,151.79518072289156,179.9857142857143,4
1.0,1.0,,,,,S184H99001020,Newfield Independent School District,Finley,Walker,finley.walker@example.edu,"Young, Skyler",skyler.young@agency.gov,10.0,10.0,10.0,10.0,250/1,169294/386,0.0,1.0,5000.0,12074.0,No,,Yes,"Yes, includes both","Yes, includes activities and strategies used to support retention","Yes, includes the ratio of students to providers within each participating LEA.","Yes, includes reasons for attrition.","Yes, includes what services were provided and how grant or matching funds supported them.",,,Skyler Young,2025-06-02 07:02:51,250.0,438.5854922279793,4
1.0,1.0,,,,,S184H99001021,Oakridge Unified School District,Alex,Smith,alex.smith@example.edu,"Rivera, Dana",dana.rivera@agency.gov,17.0,18.0,17.0,16.0,231/1,"15,920/67",0.0,1.0,2626.0,2626.0,No,,Yes,"Yes, includes both","Yes, includes activities and strategies used to support retention","Yes, includes the ratio of students to providers within each participating LEA.","Yes, includes number of providers at the start of the reporting period and how many left.","Yes, includes what services were provided and how grant or matching funds supported them.",,,Dana Rivera,2025-06-02 07:02:51,231.0,237.61194029850745,3
1.0,1.0,,,,,S184H99001022,Parkview City Schools,Jordan,Johnson,jordan.johnson@example.edu,"Nguyen, Chris",chris.nguyen@agency.gov,5.0,8.0,5.0,5.0,300/1,14263/79,2.0,0.0,1140.0,3634.0,Maybe,GPRA 3 target is reported as a simplified ratio (300/1); actual data is reported correctly (14263/79).,Yes,"Yes, includes both","Yes, includes activities and strategies used to support retention","Yes, includes the ratio of students to providers within each participating LEA.","Yes, includes reasons for attrition.","Yes, includes what services were provided and how grant or matching funds supported them.",,,Chris Nguyen,2025-06-02 07:02:51,300.0,180.5443037974684,4
1.0,1.0,,,,,S184H99001023,Queensdale County School District,Morgan,Williams,morgan.williams@example.edu,"Patel, Sam",sam.patel@agency.gov,0.0,0.0,8.0,8.0,45000/35,45525/75,8.0,0.0,300.0,7122.0,No,,Yes,"Yes, includes number of providers","No, does not include information about strategies used to support retention","No, does not include the ratio of students to providers within each participating LEA.","Yes, includes all of these.","Yes, includes what services were provided and how grant or matching funds supported them.",,,Sam Patel,2025-06-02 07:02:51,1285.7142857142858,607.0,4
1.0,1.0,,,,,S184H99001024,Redwood Joint Unified School District,Taylor,Brown,taylor.brown@example.edu,"Kim, Terry",terry.kim@agency.gov,14.0,18.0,18.0,17.0,16400/14,16400/25,0.0,1.0,0.0,793.0,Maybe,All data is provided - however it is odd that their target for GPRA 5 is 0?,Yes,"Yes, includes both","Yes, includes activities and strategies used to support retention","Yes, includes the ratio of students to providers within each participating LEA.","Yes, includes number of providers at the start of the reporting period and how many left.","Yes, includes what services were provided and how grant or matching funds supported them.",,,Terry Kim,2025-06-02 07:02:51,1171.428571428571,656.0,2
1.0,1.0,,,,,S184H99001025,Stonefield Public Schools,Casey,Jones,casey.jones@example.edu,"Chen, Pat",pat.chen@agency.gov,5.0,1.0,0.0,5.0,3941/6,3941/6,0.0,0.0,3941.0,3941.0,No,,Yes,"Yes, includes both","No, does not include information about strategies used to support retention","Yes, includes the ratio of students to providers within each participating LEA.","Yes, includes all of these.","Yes, includes what services were provided and how grant or matching funds supported them.",,,Pat Chen,2025-06-02 07:02:51,656.8333333333334,656.8333333333334,4
1.0,1.0,,,,,S184H99001026,Timberline School District,Riley,Garcia,riley.garcia@example.edu,"Martinez, Jamie",jamie.martinez@agency.gov,26.0,18.0,18.0,16.0,2855/31,2855/31,0.0,2.0,2855.0,2855.0,No,,Yes,"Yes, includes both","No, does not include information about strategies used to support retention","No, does not include the ratio of students to providers within each participating LEA.","Yes, includes number of providers at the start of the reporting period and how many left.","Yes, includes what services were provided and how grant or matching funds supported them.",,,Jamie Martinez,2025-06-02 07:02:51,92.09677419354838,92.09677419354838,2
1.0,1.0,,,,,S184H99001027,Upland Unified School District,Avery,Miller,avery.miller@example.edu,"Robinson, Robin",robin.robinson@agency.gov,2.0,0.0,5.0,5.0,200/6,294/5,0.0,1.0,200.0,298.0,No,,Yes,"Yes, includes successes and challenges","No, does not include information about strategies used to support retention","No, does not include the ratio of students to providers within each participating LEA.","No, includes neither.","Yes, includes what services were provided and how grant or matching funds supported them.",,,Robin Robinson,2025-06-02 07:02:51,33.333333333333336,58.8,3
1.0,1.0,,,,,S184H99001028,Valley City School District,Quinn,Davis,quinn.davis@example.edu,"Clark, Jesse",jesse.clark@agency.gov,40.0,36.0,7.0,9.0,267/1,159/1,3.0,2.0,1500.0,38413.0,No,,Yes,"Yes, includes both","Yes, includes activities and strategies used to support retention","No, does not include the ratio of students to providers within each participating LEA.","Yes, includes reasons for attrition.","Yes, includes what services were provided and how grant or matching funds supported them.",,,Jesse Clark,2025-06-02 07:02:51,267.0,159.0,3
1.0,1.0,,,,,S184H99001029,Westfield County Schools,Drew,Wilson,drew.wilson@example.edu,"Lewis, Kendall",kendall.lewis@agency.gov,0.0,3.0,17.0,14.0,8272/86,8272/86,0.0,3.0,8272.0,8272.0,No,,Yes,"Yes, includes both","Yes, includes activities and strategies used to support retention","No, does not include the ratio of students to providers within each participating LEA.","Yes, includes all of these.","Yes, includes what services were provided and how grant or matching funds supported them.",,,Kendall Lewis,2025-06-02 07:02:51,96.18604651162792,96.18604651162792,3
1.0,1.0,,,,,S184H99001030,Xenith Independent School District,Reese,Moore,reese.moore@example.edu,"Young, Skyler",skyler.young@agency.gov,1.0,2.0,5.0,4.0,7473/41,7473/37,1.0,3.0,275.0,107.0,No,,Yes,"Yes, includes both","Yes, includes activities and strategies used to support retention","No, does not include the ratio of students to providers within each participating LEA.","Yes, includes number of providers at the start and end of the reporting period.","Yes, includes what services were provided and how grant or matching funds supported them.",,,Skyler Young,2025-06-02 07:02:51,182.26829268292684,201.97297297297297,2
1.0,1.0,,,,,S184H99001031,Yarmouth Unified School District,Sage,Anderson,sage.anderson@example.edu,"Rivera, Dana",dana.rivera@agency.gov,6.0,6.0,5.0,5.0,12834/60,12834/60,0.0,0.0,362.0,362.0,No,,Yes,"Yes, includes both","No, does not include information about strategies used to support retention","Yes, includes the ratio of students to providers within each participating LEA.","No, includes neither.","Yes, includes what services were provided and how grant or matching funds supported them.",,,Dana Rivera,2025-06-02 07:02:51,213.9,213.9,5
1.0,1.0,,,,,S184H99001032,Zephyr City Schools,Blake,Taylor,blake.taylor@example.edu,"Nguyen, Chris",chris.nguyen@agency.gov,6.0,5.0,13.0,12.0,3476/16,3445/13,3.0,2.0,535.0,1080.0,No,,Yes,"Yes, includes both","Yes, includes activities and strategies used to support retention","Yes, includes the ratio of students to providers within each participating LEA.","Yes, includes reasons for attrition.","Yes, includes what services were provided and how grant or matching funds supported them.",,,Chris Nguyen,2025-06-02 07:02:51,217.25,265.0,3
1.0,1.0,,,,,S184H99001033,Ashford Public Schools,Hayden,Thomas,hayden.thomas@example.edu,"Patel, Sam",sam.patel@agency.gov,7.0,7.0,2.0,8.0,112/1,790/8,2.0,1.0,727.0,673.0,No,,Yes,"Yes, includes both","Yes, includes activities and strategies used to support retention","Yes, includes the ratio of students to providers within each participating LEA.","Yes, includes number of providers at the start and end of the reporting period.","Yes, includes what services were provided and how grant or matching funds supported them.",,,Sam Patel,2025-06-02 07:02:51,112.0,98.75,3
1.0,1.0,,,,,S184H99001034,Bayside Unified School District,Cameron,Jackson,cameron.jackson@example.edu,"Kim, Terry",terry.kim@agency.gov,10.0,15.0,13.0,11.0,3471/19,3471/32,0.0,2.0,3471.0,3471.0,No,,Yes,"Yes, includes both","Yes, includes activities and strategies used to support retention","Yes, includes the ratio of students to providers within each participating LEA.","Yes, includes all of these.","Yes, includes what services were provided and how grant or matching funds supported them.",,,Terry Kim,2025-06-02 07:02:51,182.68421052631575,108.46875,2
1.0,1.0,,,,,S184H99001035,Cedarwood County School District,Peyton,White,peyton.white@example.edu,"Chen, Pat",pat.chen@agency.gov,0.0,1.0,8.0,7.0,1733/12,1755/12,0.0,1.0,1733.0,1755.0,No,,Yes,"Yes, includes both","Yes, includes activities and strategies used to support retention","Yes, includes the ratio of students to providers within each participating LEA.","Yes, includes all of these.","Yes, includes what services were provided and how grant or matching funds supported them.",,,Pat Chen,2025-06-02 07:02:51,144.41666666666666,146.25,3
1.0,1.0,,,,,S184H99001036,Dunmore City Schools,Sydney,Harris,sydney.harris@example.edu,"Martinez, Jamie",jamie.martinez@agency.gov,5.0,5.0,10.0,10.0,2675/10,2675/10,0.0,0.0,490.0,490.0,No,,Yes,"Yes, includes both","Yes, includes activities and strategies used to support retention","Yes, includes the ratio of students to providers within each participating LEA.","Yes, includes all of these.","Yes, includes what services were provided and how grant or matching funds supported them.",,,Jamie Martinez,2025-06-02 07:02:51,267.5,267.5,5
1.0,1.0,,,,,S184H99001037,Eastfield Unified School District,Harper,Martin,harper.martin@example.edu,"Robinson, Robin",robin.robinson@agency.gov,0.0,2.0,2.0,2.0,12300/15,12300/14,0.0,2.0,7500.0,4105.0,No,,Yes,"Yes, includes both","Yes, includes activities and strategies used to support retention","Yes, includes the ratio of students to providers within each participating LEA.","Yes, includes all of these.","Yes, includes what services were provided and how grant or matching funds supported them.",,,Robin Robinson,2025-06-02 07:02:51,820.0,878.5714285714286,3
1.0,1.0,,,,,S184H99001038,Foxhill Public Schools,Emerson,Thompson,emerson.thompson@example.edu,"Clark, Jesse",jesse.clark@agency.gov,4.0,12.0,16.0,39.0,66474/43,66474/62,35.0,57.0,532.0,1191.0,No,Cover Letter as Executive Summary,Yes,"Yes, includes both","Yes, includes activities and strategies used to support retention","Yes, includes the ratio of students to providers within each participating LEA.","Yes, includes all of these.","Yes, includes what services were provided and how grant or matching funds supported them.",,,Jesse Clark,2025-06-02 07:02:51,1545.906976744186,1072.1612903225807,3
1.0,1.0,,,,,S184H99001039,Glenview County School District,Logan,Lee,logan.lee@example.edu,"Lewis, Kendall",kendall.lewis@agency.gov,10.0,12.0,12.0,10.0,75383/318,69760/28,1.0,4.0,1802.0,3077.0,No,,Yes,"Yes, includes both","Yes, includes activities and strategies used to support retention","Yes, includes the ratio of students to providers within each participating LEA.","Yes, includes all of these.","Yes, includes what services were provided and how grant or matching funds supported them.",,,Kendall Lewis,2025-06-02 07:02:51,237.0534591194969,2491.428571428572,3
1.0,1.0,,,,,S184H99001040,Harborview City Schools,Finley,Walker,finley.walker@example.edu,"Young, Skyler",skyler.young@agency.gov,0.0,4.0,12.0,13.0,12889/24,12940/23,0.0,6.0,1300.0,893.0,No,,Yes,"Yes, includes both","Yes, includes activities and strategies used to support retention","Yes, includes the ratio of students to providers within each participating LEA.","Yes, includes number of providers at the start of the reporting period and how many left.","Yes, includes what services were provided and how grant or matching funds supported them.",,,Skyler Young,2025-06-02 07:02:51,537.0416666666666,562.6086956521739,3
1.0,1.0,,,,,S184H99001041,Ivywood Unified School District,Alex,Smith,alex.smith@example.edu,"Rivera, Dana",dana.rivera@agency.gov,22.0,30.0,12.0,40.0,16020/34,16020/40,0.0,3.0,16020.0,16020.0,No,na,Yes,"Yes, includes both","Yes, includes activities and strategies used to support retention","Yes, includes the ratio of students to providers within each participating LEA.","Yes, includes all of these.","Yes, includes what services were provided and how grant or matching funds supported them.",,,Dana Rivera,2025-06-02 07:02:51,471.1764705882353,400.5,3
1.0,1.0,,,,,S184H99001042,Jasper County Schools,Jordan,Johnson,jordan.johnson@example.edu,"Nguyen, Chris",chris.nguyen@agency.gov,2.0,2.0,3.0,3.0,4254/18,4254/18,0.0,2.0,53091.0,53091.0,No,na,Yes,"Yes, includes both","Yes, includes activities and strategies used to support retention","Yes, includes the ratio of students to providers within each participating LEA.","Yes, includes all of these.","Yes, includes what services were provided and how grant or matching funds supported them.",,,Chris Nguyen,2025-06-02 07:02:51,236.33333333333331,236.33333333333331,4
1.0,1.0,,,,,S184H99001043,Kenwood Public Schools,Morgan,Williams,morgan.williams@example.edu,"Patel, Sam",sam.patel@agency.gov,8.0,9.0,6.0,6.0,250/1,765/2,0.0,3.0,765.0,410.0,No,na,Yes,"Yes, includes both","Yes, includes activities and strategies used to support retention","Yes, includes the ratio of students to providers within each participating LEA.","Yes, includes all of these.","Yes, includes what services were provided and how grant or matching funds supported them.",,,Sam Patel,2025-06-02 07:02:51,250.0,382.5,3
1.0,1.0,,,,,S184H99001044,Longview Unified School District,Taylor,Brown,taylor.brown@example.edu,"Kim, Terry",terry.kim@agency.gov,5.0,5.0,9.0,7.0,1056/9,1056/7,9.0,7.0,1085.0,1056.0,No,,Yes,"Yes, includes successes and challenges","Yes, includes activities and strategies used to support retention","Yes, includes the ratio of students to providers within each participating LEA.","Yes, includes all of these.","Yes, includes what services were provided and how grant or matching funds supported them.",,,Terry Kim,2025-06-02 07:02:51,117.33333333333331,150.85714285714286,3
1.0,1.0,,,,,S184H99001045,Meadowfield City Schools,Casey,Jones,casey.jones@example.edu,"Chen, Pat",pat.chen@agency.gov,41.0,200.0,634.0,539.0,93155/685,98603/839,132.0,132.0,39464.0,84329.0,No,,Yes,"Yes, includes both","Yes, includes activities and strategies used to support retention","Yes, includes the ratio of students to providers within each participating LEA.","Yes, includes number of providers at the start of the reporting period and how many left.","Yes, includes what services were provided and how grant or matching funds supported them.",,,Pat Chen,2025-06-02 07:02:51,135.992700729927,117.52443384982122,3
1.0,1.0,,,,,S184H99001046,Northgate County School District,Riley,Garcia,riley.garcia@example.edu,"Martinez, Jamie",jamie.martinez@agency.gov,4.0,1.0,3.0,3.0,7935/13,7935/9,0.0,0.0,1530.0,1970.0,No,na,No,"Yes, includes both","Yes, includes activities and strategies used to support retention","Yes, includes the ratio of students to providers within each participating LEA.","Yes, includes all of these.","Yes, includes what services were provided and how grant or matching funds supported them.",,,Jamie Martinez,2025-06-02 07:02:51,610.3846153846154,881.6666666666666,4
1.0,1.0,,,,,S184H99001047,Overlook Public Schools,Avery,Miller,avery.miller@example.edu,"Robinson, Robin",robin.robinson@agency.gov,10.0,13.0,5.0,11.0,250/1,24266/114,0.0,0.0,1500.0,1126.0,No,na,Yes,"Yes, includes both","Yes, includes activities and strategies used to support retention","Yes, includes the ratio of students to providers within each participating LEA.","Yes, includes all of these.","Yes, includes what services were provided and how grant or matching funds supported them.",,,Robin Robinson,2025-06-02 07:02:51,250.0,212.859649122807,3
1.0,1.0,,,,,S184H99001048,Plainfield Unified School District,Quinn,Davis,quinn.davis@example.edu,"Clark, Jesse",jesse.clark@agency.gov,2.0,2.0,11.0,10.0,12689/78,12614/75,2.0,2.0,1000.0,4913.0,No,na,Yes,"Yes, includes both","Yes, includes activities and strategies used to support retention","Yes, includes the ratio of students to providers within each participating LEA.","Yes, includes all of these.","Yes, includes what services were provided and how grant or matching funds supported them.",,,Jesse Clark,2025-06-02 07:02:51,162.67948717948718,168.18666666666667,4
1.0,1.0,,,,,S184H99001049,Quarryhill City Schools,Drew,Wilson,drew.wilson@example.edu,"Lewis, Kendall",kendall.lewis@agency.gov,1.0,1.0,1.0,1.0,17617/46,17617/47,0.0,0.0,500.0,9767.0,No,na,Yes,"Yes, includes both","Yes, includes activities and strategies used to support retention","Yes, includes the ratio of students to providers within each participating LEA.","Yes, includes number of providers at the start and end of the reporting period.","Yes, includes what services were provided and how grant or matching funds supported them.",,,Kendall Lewis,2025-06-02 07:02:51,382.9782608695652,374.82978723404256,4
1.0,1.0,,,,,S184H99001050,Ravenwood County School District,Reese,Moore,reese.moore@example.edu,"Young, Skyler",skyler.young@agency.gov,648.0,363.0,2203.0,1833.0,324311/ 2203,324311/ 1833,0.0,7.0,3860.0,14538.0,No,na,No,"Yes, includes both","Yes, includes activities and strategies used to support retention","Yes, includes the ratio of students to providers within each participating LEA.","Yes, includes number of providers at the start of the reporting period and how many left.","Yes, includes what services were provided and how grant or matching funds supported them.",,,Skyler Young,2025-06-02 07:02:51,147.21334543803903,176.9290780141844,2
1.0,1.0,,,,,S184H99001051,Saltmarsh Public Schools,Sage,Anderson,sage.anderson@example.edu,"Rivera, Dana",dana.rivera@agency.gov,16.0,11.0,77.0,76.0,13206 / 99,13206 / 94,9.0,11.0,660.0,703.0,No,na,Yes,"Yes, includes both","Yes, includes activities and strategies used to support retention","Yes, includes the ratio of students to providers within each participating LEA.","Yes, includes all of these.","Yes, includes what services were provided and how grant or matching funds supported them.",,,Dana Rivera,2025-06-02 07:02:51,133.3939393939394,140.48936170212767,2
