No Revisions Needed,No Revision Email Sent,Revisions Needed,Revision Email Sent,Revisions Recieved,Revisions Incorporated,grant_id,grantee_name,Grantee First Name,Grantee Last Name,Grantee Email,FPO Name,FPO Email,gpra_1a_target_y2,gpra_1a_actual_y2,gpra_1b_target_y2,gpra_1b_actual_y2,gpra_2a_target_y2,gpra_2a_actual_y2,gpra_2b_target_y2,gpra_2b_actual_y2,gpra_3a_target_y2,gpra_3a_actual_y2,gpra_3b_target_y2,gpra_3b_actual_y2,Revisions Needed?,Revision Data Needed,Has the Executive Summary been included?,GPRA 1 Explanation of Progress,GPRA 2 Explanation of Progress,GPRA 3 Explanation of Progress,What revisions do this grantee require?,Modified By,Modified,meeting_targets
1.0,1.0,,,,,S184X99001016,Kingsview University,Sydney,Harris,sydney.harris@example.edu,"Martinez, Jamie",jamie.martinez@agency.gov,2.0,3.0,14.0,12.0,14.0,10.0,2.0,3.0,2.0,2.0,3.0,3.0,No,,Yes,"Yes, includes both.","Yes, includes both.","Yes, includes information on successes or challenges.",,Jamie Martinez,2025-06-02 07:04:19,4
1.0,1.0,,,,,S184X99001017,Lakeshore College,Harper,Martin,harper.martin@example.edu,"Robinson, Robin",robin.robinson@agency.gov,14.0,12.0,14.0,19.0,14.0,19.0,14.0,12.0,7.0,2.0,7.0,0.0,No,,Yes,"Yes, includes both.","Yes, includes both.","Yes, includes information on successes or challenges.",,Robin Robinson,2025-06-02 07:04:19,2
1.0,1.0,,,,,S184X99001018,Millbrook University,Emerson,Thompson,emerson.thompson@example.edu,"Clark, Jesse",jesse.clark@agency.gov,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,,Yes,"Yes, includes information on successes and/or challenges.","Yes, includes information on the nature of practicum/internship experiences.","Yes, includes information on successes or challenges.","Requires data for 1A, 1B, 2A, 2B, 3A, 3B.",Jesse Clark,2025-06-02 07:04:19,6
1.0,1.0,,,,,S184X99001019,Newfield College,Logan,Lee,logan.lee@example.edu,"Lewis, Kendall",kendall.lewis@agency.gov,34.0,18.0,34.0,33.0,34.0,19.0,34.0,36.0,34.0,13.0,0.0,0.0,No,,Yes,"Yes, includes both.","Yes, includes both.","Yes, includes information on successes or challenges.",,Kendall Lewis,2025-06-02 07:04:19,2
1.0,1.0,,,,,S184X99001020,Oakridge University,Finley,Walker,finley.walker@example.edu,"Young, Skyler",skyler.young@agency.gov,0.0,0.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,No,,Yes,"Yes, includes both.","Yes, includes both.","No, does include information on successes or challenges.",none,Skyler Young,2025-06-02 07:04:19,6
1.0,1.0,,,,,S184X99001021,Parkview College,Alex,Smith,alex.smith@example.edu,"Rivera, Dana",dana.rivera@agency.gov,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,3.0,2.0,0.0,No,,No,"Yes, includes both.","Yes, includes both.","Yes, includes information on successes or challenges.",,Dana Rivera,2025-06-02 07:04:19,3
1.0,1.0,,,,,S184X99001022,Queensdale University,Jordan,Johnson,jordan.johnson@example.edu,"Nguyen, Chris",chris.nguyen@agency.gov,0.0,2.0,42.0,31.0,0.0,7.0,0.0,2.0,0.0,2.0,0.0,0.0,No,,Yes,"Yes, includes both.","Yes, includes both.","Yes, includes information on successes or challenges.",none,Chris Nguyen,2025-06-02 07:04:19,5
1.0,1.0,,,,,S184X99001023,Redwood College,Morgan,Williams,morgan.williams@example.edu,"Patel, Sam",sam.patel@agency.gov,12.0,4.0,12.0,4.0,12.0,29.0,12.0,12.0,8.0,2.0,14.0,2.0,No,,Yes,"Yes, includes information on the nature of training being provided.","Yes, includes information on the nature of practicum/internship experiences.","No, does include information on successes or challenges.",none,Sam Patel,2025-06-02 07:04:19,2
1.0,1.0,,,,,S184X99001024,Stonefield University,Taylor,Brown,taylor.brown@example.edu,"Kim, Terry",terry.kim@agency.gov,4.0,3.0,9.0,12.0,10.0,11.0,4.0,3.0,0.0,0.0,0.0,0.0,No,,Yes,"Yes, includes both.","Yes, includes both.","Yes, includes information on successes or challenges.",,Terry Kim,2025-06-02 07:04:19,4
1.0,1.0,,,,,S184X99001025,Timberline College,Casey,Jones,casey.jones@example.edu,"Chen, Pat",pat.chen@agency.gov,0.0,0.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,,Yes,"Yes, includes both.","Yes, includes both.","Yes, includes information on successes or challenges.",,Pat Chen,2025-06-02 07:04:19,5
1.0,1.0,,,,,S184X99001026,Upland University,Riley,Garcia,riley.garcia@example.edu,"Martinez, Jamie",jamie.martinez@agency.gov,8.0,12.0,8.0,10.0,8.0,12.0,8.0,10.0,8.0,4.0,8.0,0.0,No,,Yes,"Yes, includes both.","Yes, includes both.","Yes, includes information on successes or challenges.",,Jamie Martinez,2025-06-02 07:04:19,4
1.0,1.0,,,,,S184X99001027,Valley College,Avery,Miller,avery.miller@example.edu,"Robinson, Robin",robin.robinson@agency.gov,8.0,2.0,8.0,11.0,8.0,9.0,8.0,2.0,4.0,2.0,0.0,0.0,No,,Yes,"Yes, includes information on successes and/or challenges.","Yes, includes information on successes and/or challenges.","Yes, includes information on successes or challenges.",,Robin Robinson,2025-06-02 07:04:19,3
1.0,1.0,,,,,S184X99001028,Westfield University,Quinn,Davis,quinn.davis@example.edu,"Clark, Jesse",jesse.clark@agency.gov,9.0,12.0,10.0,14.0,10.0,14.0,9.0,12.0,9.0,6.0,0.0,0.0,No,,Yes,"Yes, includes both.","Yes, includes both.","Yes, includes information on successes or challenges.",none,Jesse Clark,2025-06-02 07:04:19,5
1.0,1.0,,,,,S184X99001029,Xenith College,Drew,Wilson,drew.wilson@example.edu,"Lewis, Kendall",kendall.lewis@agency.gov,0.0,0.0,16.0,21.0,16.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,No,,Yes,"Yes, includes information on successes and/or challenges.","Yes, includes information on successes and/or challenges.","Yes, includes information on successes or challenges.",,Kendall Lewis,2025-06-02 07:04:19,5
1.0,1.0,,,,,S184X99001030,Yarmouth University,Reese,Moore,reese.moore@example.edu,"Young, Skyler",skyler.young@agency.gov,20.0,15.0,22.0,14.0,22.0,14.0,20.0,15.0,7.0,12.0,0.0,0.0,No,,Yes,"Yes, includes information on successes and/or challenges.","Yes, includes information on the nature of practicum/internship experiences.","Yes, includes information on successes or challenges.",,Skyler Young,2025-06-02 07:04:19,2
1.0,1.0,,,,,S184X99001031,Zephyr College,Sage,Anderson,sage.anderson@example.edu,"Rivera, Dana",dana.rivera@agency.gov,12.0,15.0,12.0,15.0,12.0,15.0,12.0,15.0,12.0,11.0,1.0,1.0,No,,Yes,"Yes, includes information on successes and/or challenges.","Yes, includes information on successes and/or challenges.","Yes, includes information on successes or challenges.",,Dana Rivera,2025-06-02 07:04:19,5
1.0,1.0,,,,,S184X99001032,Ashford University,Blake,Taylor,blake.taylor@example.edu,"Nguyen, Chris",chris.nguyen@agency.gov,0.0,0.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,No,,Yes,"Yes, includes both.","Yes, includes both.","Yes, includes information on successes or challenges.",,Chris Nguyen,2025-06-02 07:04:19,6
1.0,1.0,,,,,S184X99001033,Bayside College,Hayden,Thomas,hayden.thomas@example.edu,"Patel, Sam",sam.patel@agency.gov,0.0,0.0,5.0,5.0,5.0,4.0,5.0,5.0,0.0,0.0,0.0,0.0,No,,Yes,"Yes, includes both.","Yes, includes both.","Yes, includes information on successes or challenges.",,Sam Patel,2025-06-02 07:04:19,5
1.0,1.0,,,,,S184X99001034,Cedarwood University,Cameron,Jackson,cameron.jackson@example.edu,"Kim, Terry",terry.kim@agency.gov,2.0,2.0,6.0,2.0,6.0,1.0,6.0,2.0,1.0,2.0,0.0,0.0,No,,Yes,"Yes, includes both.","Yes, includes both.","Yes, includes information on successes or challenges.",na,Terry Kim,2025-06-02 07:04:19,3
1.0,1.0,,,,,S184X99001035,Dunmore College,Peyton,White,peyton.white@example.edu,"Chen, Pat",pat.chen@agency.gov,8.0,8.0,16.0,15.0,16.0,17.0,8.0,8.0,8.0,4.0,0.0,0.0,No,,Yes,"Yes, includes both.","Yes, includes both.","Yes, includes information on successes or challenges.",na,Pat Chen,2025-06-02 07:04:19,4
1.0,1.0,,,,,S184X99001036,Eastfield University,Sydney,Harris,sydney.harris@example.edu,"Martinez, Jamie",jamie.martinez@agency.gov,0.0,0.0,0.0,8.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,No,,Yes,"Yes, includes both.","Yes, includes both.","Yes, includes information on successes or challenges.",na,Jamie Martinez,2025-06-02 07:04:19,6
1.0,1.0,,,,,S184X99001037,Foxhill College,Harper,Martin,harper.martin@example.edu,"Robinson, Robin",robin.robinson@agency.gov,6.0,10.0,10.0,15.0,10.0,14.0,6.0,10.0,4.0,2.0,0.0,0.0,No,,Yes,"Yes, includes both.","Yes, includes both.","Yes, includes information on successes or challenges.",na,Robin Robinson,2025-06-02 07:04:19,5
1.0,1.0,,,,,S184X99001038,Glenview University,Emerson,Thompson,emerson.thompson@example.edu,"Clark, Jesse",jesse.clark@agency.gov,0.0,2.0,10.0,10.0,2.0,3.0,9.0,9.0,0.0,3.0,2.0,2.0,No,,Yes,"Yes, includes both.","Yes, includes both.","Yes, includes information on successes or challenges.",na,Jesse Clark,2025-06-02 07:04:19,6
1.0,1.0,,,,,S184X99001039,Harborview College,Logan,Lee,logan.lee@example.edu,"Lewis, Kendall",kendall.lewis@agency.gov,20.0,16.0,20.0,45.0,20.0,30.0,20.0,15.0,20.0,15.0,20.0,3.0,No,,Yes,"Yes, includes both.","Yes, includes both.","Yes, includes information on successes or challenges.",na,Kendall Lewis,2025-06-02 07:04:19,2
1.0,1.0,,,,,S184X99001040,Ivywood University,Finley,Walker,finley.walker@example.edu,"Young, Skyler",skyler.young@agency.gov,18.0,0.0,18.0,20.0,18.0,20.0,18.0,0.0,18.0,1.0,18.0,0.0,No,,Yes,"Yes, includes information on the nature of training being provided.","Yes, includes information on the nature of practicum/internship experiences.","Yes, includes information on successes or challenges.",,Skyler Young,2025-06-02 07:04:19,2
1.0,1.0,,,,,S184X99001041,Jasper College,Alex,Smith,alex.smith@example.edu,"Rivera, Dana",dana.rivera@agency.gov,0.0,0.0,10.0,7.0,10.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,No,,Yes,"Yes, includes both.","Yes, includes both.","Yes, includes information on successes or challenges.",,Dana Rivera,2025-06-02 07:04:19,4
1.0,1.0,,,,,S184X99001042,Kenwood University,Jordan,Johnson,jordan.johnson@example.edu,"Nguyen, Chris",chris.nguyen@agency.gov,12.0,6.0,12.0,12.0,6.0,6.0,0.0,6.0,6.0,6.0,0.0,1.0,No,,Yes,"Yes, includes both.","Yes, includes both.","Yes, includes information on successes or challenges.",,Chris Nguyen,2025-06-02 07:04:19,5
1.0,1.0,,,,,S184X99001043,Longview College,Morgan,Williams,morgan.williams@example.edu,"Patel, Sam",sam.patel@agency.gov,10.0,8.0,10.0,13.0,10.0,13.0,10.0,8.0,7.0,6.0,0.0,0.0,No,,Yes,"Yes, includes both.","Yes, includes both.","Yes, includes information on successes or challenges.",na,Sam Patel,2025-06-02 07:04:19,3
1.0,1.0,,,,,S184X99001044,Meadowfield University,Taylor,Brown,taylor.brown@example.edu,"Kim, Terry",terry.kim@agency.gov,4.0,4.0,5.0,7.0,5.0,5.0,4.0,4.0,4.0,2.0,0.0,0.0,No,,Yes,"Yes, includes both.","Yes, includes both.","Yes, includes information on successes or challenges.",,Terry Kim,2025-06-02 07:04:19,5
1.0,1.0,,,,,S184X99001045,Northgate College,Casey,Jones,casey.jones@example.edu,"Chen, Pat",pat.chen@agency.gov,2.0,2.0,13.0,13.0,13.0,13.0,2.0,2.0,2.0,1.0,0.0,0.0,No,,Yes,"Yes, includes both.","Yes, includes both.","Yes, includes information on successes or challenges.",na,Pat Chen,2025-06-02 07:04:19,5
1.0,1.0,,,,,S184X99001046,Overlook University,Riley,Garcia,riley.garcia@example.edu,"Martinez, Jamie",jamie.martinez@agency.gov,14.0,8.0,21.0,25.0,7.0,6.0,7.0,8.0,0.0,7.0,7.0,7.0,No,,Yes,"Yes, includes both.","Yes, includes both.","Yes, includes information on successes or challenges.",na,Jamie Martinez,2025-06-02 07:04:19,4
1.0,1.0,,,,,S184X99001047,Plainfield College,Avery,Miller,avery.miller@example.edu,"Robinson, Robin",robin.robinson@agency.gov,3.0,4.0,12.0,15.0,12.0,4.0,3.0,4.0,3.0,4.0,0.0,3.0,No,,Yes,"Yes, includes both.","Yes, includes both.","Yes, includes information on successes or challenges.",,Robin Robinson,2025-06-02 07:04:19,5
1.0,1.0,,,,,S184X99001048,Quarryhill University,Quinn,Davis,quinn.davis@example.edu,"Clark, Jesse",jesse.clark@agency.gov,2.0,1.0,10.0,8.0,5.0,3.0,2.0,1.0,0.0,1.0,0.0,0.0,No,,Yes,"Yes, includes both.","Yes, includes both.","Yes, includes information on successes or challenges.",,Jesse Clark,2025-06-02 07:04:19,2
1.0,1.0,,,,,S184X99001049,Ravenwood College,Drew,Wilson,drew.wilson@example.edu,"Lewis, Kendall",kendall.lewis@agency.gov,1.0,0.0,9.0,10.0,11.0,10.0,6.0,6.0,2.0,1.0,0.0,0.0,No,,Yes,"Yes, includes both.","Yes, includes both.","Yes, includes information on successes or challenges.",,Kendall Lewis,2025-06-02 07:04:19,3
1.0,1.0,,,,,S184X99001050,Saltmarsh University,Reese,Moore,reese.moore@example.edu,"Young, Skyler",skyler.young@agency.gov,5.0,5.0,7.0,7.0,7.0,7.0,5.0,5.0,5.0,3.0,0.0,0.0,No,,Yes,"Yes, includes both.","Yes, includes both.","Yes, includes information on successes or challenges.",,Skyler Young,2025-06-02 07:04:19,5
1.0,1.0,,,,,S184X99001051,Thornfield College,Sage,Anderson,sage.anderson@example.edu,"Rivera, Dana",dana.rivera@agency.gov,0.0,1.0,55.0,54.0,5.0,5.0,1.0,1.0,0.0,7.0,13.0,13.0,No,,Yes,"Yes, includes both.","Yes, includes information on successes and/or challenges.","Yes, includes information on successes or challenges.",,Dana Rivera,2025-06-02 07:04:19,5
1.0,1.0,,,,,S184X99001052,Underhill University,Blake,Taylor,blake.taylor@example.edu,"Nguyen, Chris",chris.nguyen@agency.gov,5.0,5.0,34.0,29.0,34.0,44.0,5.0,5.0,2.0,3.0,0.0,0.0,No,,Yes,"Yes, includes both.","Yes, includes both.","Yes, includes information on successes or challenges.",,Chris Nguyen,2025-06-02 07:04:19,5
1.0,1.0,,,,,S184X99001053,Valewood College,Hayden,Thomas,hayden.thomas@example.edu,"Patel, Sam",sam.patel@agency.gov,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,,Yes,"Yes, includes both.","Yes, includes both.","Yes, includes information on successes or challenges.",na,Sam Patel,2025-06-02 07:04:19,6
1.0,1.0,,,,,S184X99001054,Whitmore University,Cameron,Jackson,cameron.jackson@example.edu,"Kim, Terry",terry.kim@agency.gov,0.0,0.0,21.0,18.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,No,,Yes,"Yes, includes both.","Yes, includes information on the nature of practicum/internship experiences.","Yes, includes information on successes or challenges.",na,Terry Kim,2025-06-02 07:04:19,5
1.0,1.0,,,,,S184X99001055,Foxgate College,Peyton,White,peyton.white@example.edu,"Chen, Pat",pat.chen@agency.gov,0.0,0.0,15.0,14.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,No,,Yes,"Yes, includes both.","Yes, includes both.","Yes, includes information on successes or challenges.",na,Pat Chen,2025-06-02 07:04:19,4
1.0,1.0,,,,,S184X99001056,Coldwater University,Sydney,Harris,sydney.harris@example.edu,"Martinez, Jamie",jamie.martinez@agency.gov,24.0,32.0,24.0,32.0,24.0,32.0,24.0,32.0,18.0,10.0,18.0,0.0,No,,Yes,"Yes, includes both.","Yes, includes both.","Yes, includes information on successes or challenges.",na,Jamie Martinez,2025-06-02 07:04:19,4
1.0,1.0,,,,,S184X99001057,Driftwood College,Harper,Martin,harper.martin@example.edu,"Robinson, Robin",robin.robinson@agency.gov,0.0,0.0,23.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,No,,Yes,"Yes, includes information on the nature of training being provided.","Yes, includes both.","Yes, includes information on successes or challenges.",,Robin Robinson,2025-06-02 07:04:19,6
1.0,1.0,,,,,S184X99001058,Emberfield University,Emerson,Thompson,emerson.thompson@example.edu,"Clark, Jesse",jesse.clark@agency.gov,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,0.0,0.0,No,,Yes,"Yes, includes both.","Yes, includes both.","Yes, includes information on successes or challenges.",,Jesse Clark,2025-06-02 07:04:19,6
1.0,1.0,,,,,S184X99001059,Ferndale College,Logan,Lee,logan.lee@example.edu,"Lewis, Kendall",kendall.lewis@agency.gov,0.0,0.0,12.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,,Yes,"Yes, includes both.","Yes, includes both.","Yes, includes information on successes or challenges.",,Kendall Lewis,2025-06-02 07:04:19,6
1.0,1.0,,,,,S184X99001060,Goldcrest University,Finley,Walker,finley.walker@example.edu,"Young, Skyler",skyler.young@agency.gov,2.0,2.0,8.0,8.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,No,,Yes,"Yes, includes both.","Yes, includes both.","Yes, includes information on successes or challenges.",,Skyler Young,2025-06-02 07:04:19,6
1.0,1.0,,,,,S184X99001061,Hawthorne College,Alex,Smith,alex.smith@example.edu,"Rivera, Dana",dana.rivera@agency.gov,30.0,14.0,30.0,35.0,30.0,49.0,30.0,14.0,8.0,13.0,0.0,0.0,No,,Yes,"Yes, includes information on the nature of training being provided.","Yes, includes information on the nature of practicum/internship experiences.","Yes, includes information on successes or challenges.",,Dana Rivera,2025-06-02 07:04:19,4
1.0,1.0,,,,,S184X99001062,Irongate University,Jordan,Johnson,jordan.johnson@example.edu,"Nguyen, Chris",chris.nguyen@agency.gov,15.0,14.0,15.0,19.0,15.0,19.0,15.0,14.0,15.0,3.0,15.0,0.0,No,,Yes,"Yes, includes information on successes and/or challenges.","Yes, includes both.","Yes, includes information on successes or challenges.",,Chris Nguyen,2025-06-02 07:04:19,2
1.0,1.0,,,,,S184X99001063,Junipervale College,Morgan,Williams,morgan.williams@example.edu,"Patel, Sam",sam.patel@agency.gov,5.0,5.0,24.0,22.0,24.0,22.0,5.0,5.0,5.0,4.0,0.0,0.0,No,,Yes,"Yes, includes both.","Yes, includes both.","Yes, includes information on successes or challenges.",,Sam Patel,2025-06-02 07:04:19,3
1.0,1.0,,,,,S184X99001064,Keystonebridge University,Taylor,Brown,taylor.brown@example.edu,"Kim, Terry",terry.kim@agency.gov,4.0,4.0,20.0,22.0,20.0,33.0,4.0,4.0,3.0,14.0,1.0,1.0,No,,Yes,"Yes, includes both.","Yes, includes both.","Yes, includes information on successes or challenges.",,Terry Kim,2025-06-02 07:04:19,6
1.0,1.0,,,,,S184X99001065,Lakecrest College,Casey,Jones,casey.jones@example.edu,"Chen, Pat",pat.chen@agency.gov,160.0,145.0,160.0,159.0,40.0,43.0,40.0,44.0,3.0,3.0,0.0,0.0,No,,Yes,"Yes, includes both.","Yes, includes both.","Yes, includes information on successes or challenges.",,Pat Chen,2025-06-02 07:04:19,4
1.0,1.0,,,,,S184X99001066,Marblehill University,Riley,Garcia,riley.garcia@example.edu,"Martinez, Jamie",jamie.martinez@agency.gov,0.0,0.0,10.0,12.0,10.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,No,,Yes,"Yes, includes both.","Yes, includes both.","Yes, includes information on successes or challenges.",,Jamie Martinez,2025-06-02 07:04:19,6
1.0,1.0,,,,,S184X99001067,Northstar College,Avery,Miller,avery.miller@example.edu,"Robinson, Robin",robin.robinson@agency.gov,1.0,1.0,10.0,10.0,4.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,No,,Yes,"Yes, includes both.","Yes, includes both.","Yes, includes information on successes or challenges.",,Robin Robinson,2025-06-02 07:04:19,6
1.0,1.0,,,,,S184X99001068,Orchard University,Quinn,Davis,quinn.davis@example.edu,"Clark, Jesse",jesse.clark@agency.gov,4.0,1.0,24.0,27.0,4.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,No,,Yes,"Yes, includes both.","Yes, includes both.","Yes, includes information on successes or challenges.",,Jesse Clark,2025-06-02 07:04:19,3
1.0,1.0,,,,,S184X99001069,Pinebrook College,Drew,Wilson,drew.wilson@example.edu,"Lewis, Kendall",kendall.lewis@agency.gov,20.0,45.0,20.0,30.0,20.0,30.0,20.0,10.0,5.0,10.0,5.0,0.0,No,,Yes,"Yes, includes both.","Yes, includes both.","Yes, includes information on successes or challenges.",,Kendall Lewis,2025-06-02 07:04:19,4
1.0,1.0,,,,,S184X99001070,Quarryside University,Reese,Moore,reese.moore@example.edu,"Young, Skyler",skyler.young@agency.gov,4.0,4.0,4.0,5.0,4.0,6.0,4.0,4.0,3.0,3.0,0.0,0.0,No,,Yes,"Yes, includes both.","Yes, includes both.","Yes, includes information on successes or challenges.",,Skyler Young,2025-06-02 07:04:19,6
