No Revisions Needed,No Revision Email Sent,Revisions Needed,Revision Email Sent,Revisions Recieved,Revisions Incorporated,grant_id,grantee_name,Grantee First Name,Grantee Last Name,Grantee Email,FPO Name,FPO Email,gpra_1_target_y2,gpra_1_actual_y2,gpra_2_target_y2,gpra_2_actual_y2,gpra_3_target_y2_ratio,gpra_3_actual_y2_ratio,gpra_4_target_y2,gpra_4_actual_y2,gpra_5_target_y2,gpra_5_actual_y2,Revisions Needed?,Type of Revisions Needed,Has the Executive Summary been included?,GPRA 1 Explanation of Progress,GPRA 2 Explanation of Progress,GPRA 3 Explanation of Progress,GPRA 4 Explanation of Progress,GPRA 5 Explanation of Progress,Column32,Column33,Modified By,Modified,gpra_3_target_y2,gpra_3_actual_y2,meeting_targets
1.0,1.0,,,,,S184H99004011,Fairview Unified School District,Sage,Anderson,sage.anderson@example.edu,"Rivera, Dana",dana.rivera@agency.gov,2.0,2.0,11.0,10.0,46/10159,46/10092,2.0,1.0,7000.0,10092.0,No,,Yes,"Yes, includes both","Yes, includes activities and strategies used to support retention","Yes, includes the ratio of students to providers within each participating LEA.","Yes, includes number of providers at the start of the reporting period and how many left.","Yes, includes what services were provided and how grant or matching funds supported them.",,,automation@smartsheet.com,2025-06-02 07:02:51,220.84782608695653,219.3913043478261,3
1.0,1.0,,,,,S184H99004012,Greenfield Community School District,Blake,Taylor,blake.taylor@example.edu,"Nguyen, Chris",chris.nguyen@agency.gov,10.0,1.0,10.0,9.0,1/275,29/8737,0.0,0.0,437.0,516.0,Maybe,GPRA 3 target is reported as a simplified ratio (275/1); the actual ratio data is reported correctly (8737/29),Yes,"Yes, includes both","Yes, includes activities and strategies used to support retention","Yes, includes the ratio of students to providers within each participating LEA.","Yes, includes all of these.","Yes, includes what services were provided and how grant or matching funds supported them.",,,automation@smartsheet.com,2025-06-02 07:02:51,275.0,301.2758620689655,3
1.0,1.0,,,,,S184H99004013,Hillside County Schools,Hayden,Thomas,hayden.thomas@example.edu,"Patel, Sam",sam.patel@agency.gov,95.0,114.0,107.0,90.0,958/177000,939/181701,1.0,97.0,177000.0,181701.0,No,,Yes,"Yes, includes both","Yes, includes activities and strategies used to support retention","No, does not include the ratio of students to providers within each participating LEA.","Yes, includes reasons for attrition.","Yes, includes what services were provided and how grant or matching funds supported them.",,,automation@smartsheet.com,2025-06-02 07:02:51,184.75991649269312,193.50479233226838,3
1.0,1.0,,,,,S184H99004014,Ironwood Public Schools,Cameron,Jackson,cameron.jackson@example.edu,"Kim, Terry",terry.kim@agency.gov,16.0,3.0,11.0,13.0,28/7873,47/7890,0.0,3.0,7873.0,7890.0,No,,Yes,"Yes, includes both","Yes, includes activities and strategies used to support retention","Yes, includes the ratio of students to providers within each participating LEA.","Yes, includes all of these.","Yes, includes what services were provided and how grant or matching funds supported them.",,,automation@smartsheet.com,2025-06-02 07:02:51,281.17857142857144,167.87234042553192,2
1.0,1.0,,,,,S184H99004015,Juniper Valley School District,Peyton,White,peyton.white@example.edu,"Chen, Pat",pat.chen@agency.gov,0.0,2.0,5.0,3.0,12/11500,12/12088,0.0,2.0,336.0,530.0,No,,Yes,"Yes, includes number of providers","Yes, includes activities and strategies used to support retention","Yes, includes the ratio of students to providers within each participating LEA.","Yes, includes reasons for attrition.","Yes, includes what services were provided and how grant or matching funds supported them.",,,automation@smartsheet.com,2025-06-02 07:02:51,958.3333333333334,1007.3333333333334,3
1.0,1.0,,,,,S184H99004016,Kingsview Unified School District,Sydney,Harris,sydney.harris@example.edu,"Martinez, Jamie",jamie.martinez@agency.gov,3.0,4.0,51.0,48.0,52/10684,52/10684,0.0,3.0,10684.0,10684.0,No,,Yes,"Yes, includes both","Yes, includes activities and strategies used to support retention","Yes, includes the ratio of students to providers within each participating LEA.","Yes, includes all of these.","Yes, includes what services were provided and how grant or matching funds supported them.",,,automation@smartsheet.com,2025-06-02 07:02:51,205.46153846153845,205.46153846153845,3
1.0,1.0,,,,,S184H99004017,Lakeshore City Schools,Harper,Martin,harper.martin@example.edu,"Robinson, Robin",robin.robinson@agency.gov,8.0,8.0,16.0,13.0,19/4390,32/4258,0.0,3.0,2854.0,4258.0,No,none,Yes,"Yes, includes both","Yes, includes activities and strategies used to support retention","Yes, includes the ratio of students to providers within each participating LEA.","Yes, includes all of these.","Yes, includes what services were provided and how grant or matching funds supported them.",,,automation@smartsheet.com,2025-06-02 07:02:51,231.05263157894737,133.0625,2
1.0,1.0,,,,,S184H99004018,Millbrook County School District,Emerson,Thompson,emerson.thompson@example.edu,"Clark, Jesse",jesse.clark@agency.gov,23.0,6.0,6.0,44.0,160/28443,181/29259,0.0,5.0,1000.0,3279.0,No,none,Yes,"Yes, includes both","Yes, includes activities and strategies used to support retention","Yes, includes the ratio of students to providers within each participating LEA.","Yes, includes all of these.","Yes, includes what services were provided and how grant or matching funds supported them.",,,automation@smartsheet.com,2025-06-02 07:02:51,177.76875,161.65193370165747,2
1.0,1.0,,,,,S184H99004019,Newfield Independent School District,Logan,Lee,logan.lee@example.edu,"Lewis, Kendall",kendall.lewis@agency.gov,1.0,4.0,10.0,12.0,83/12599,70/12599,0.0,1.0,278.0,628.0,No,,Yes,"Yes, includes both","Yes, includes activities and strategies used to support retention","Yes, includes the ratio of students to providers within each participating LEA.","Yes, includes reasons for attrition.","Yes, includes what services were provided and how grant or matching funds supported them.",,,automation@smartsheet.com,2025-06-02 07:02:51,151.79518072289156,179.9857142857143,4
1.0,1.0,,,,,S184H99004020,Oakridge Unified School District,Finley,Walker,finley.walker@example.edu,"Young, Skyler",skyler.young@agency.gov,10.0,10.0,10.0,10.0,1/250,386/169294,0.0,1.0,5000.0,12074.0,No,,Yes,"Yes, includes both","Yes, includes activities and strategies used to support retention","Yes, includes the ratio of students to providers within each participating LEA.","Yes, includes reasons for attrition.","Yes, includes what services were provided and how grant or matching funds supported them.",,,automation@smartsheet.com,2025-06-02 07:02:51,250.0,438.5854922279793,4
1.0,1.0,,,,,S184H99004021,Parkview City Schools,Dakota,Hall,dakota.hall@example.edu,"Rivera, Dana",dana.rivera@agency.gov,17.0,18.0,17.0,16.0,1/231,67/15920,0.0,1.0,2626.0,2626.0,No,,Yes,"Yes, includes both","Yes, includes activities and strategies used to support retention","Yes, includes the ratio of students to providers within each participating LEA.","Yes, includes number of providers at the start of the reporting period and how many left.","Yes, includes what services were provided and how grant or matching funds supported them.",,,automation@smartsheet.com,2025-06-02 07:02:51,231.0,237.61194029850745,3
1.0,1.0,,,,,S184H99004022,Queensdale County School District,Kendall,Allen,kendall.allen@example.edu,"Nguyen, Chris",chris.nguyen@agency.gov,5.0,8.0,5.0,5.0,1/300,79/14263,2.0,0.0,1140.0,3634.0,Maybe,GPRA 3 target is reported as a simplified ratio (300/1); actual data is reported correctly (14263/79).,Yes,"Yes, includes both","Yes, includes activities and strategies used to support retention","Yes, includes the ratio of students to providers within each participating LEA.","Yes, includes reasons for attrition.","Yes, includes what services were provided and how grant or matching funds supported them.",,,automation@smartsheet.com,2025-06-02 07:02:51,300.0,180.54430379746836,4
1.0,1.0,,,,,S184H99004023,Redwood Joint Unified School District,Skyler,Young,skyler.young@example.edu,"Patel, Sam",sam.patel@agency.gov,0.0,0.0,8.0,8.0,35/45000,75/45525,8.0,0.0,300.0,7122.0,No,,Yes,"Yes, includes number of providers","No, does not include information about strategies used to support retention","No, does not include the ratio of students to providers within each participating LEA.","Yes, includes all of these.","Yes, includes what services were provided and how grant or matching funds supported them.",,,automation@smartsheet.com,2025-06-02 07:02:51,1285.7142857142858,607.0,4
1.0,1.0,,,,,S184H99004024,Stonefield Public Schools,Jamie,King,jamie.king@example.edu,"Kim, Terry",terry.kim@agency.gov,14.0,18.0,18.0,17.0,14/16400,25/16400,0.0,1.0,0.0,793.0,Maybe,All data is provided - however it is odd that their target for GPRA 5 is 0?,Yes,"Yes, includes both","Yes, includes activities and strategies used to support retention","Yes, includes the ratio of students to providers within each participating LEA.","Yes, includes number of providers at the start of the reporting period and how many left.","Yes, includes what services were provided and how grant or matching funds supported them.",,,automation@smartsheet.com,2025-06-02 07:02:51,1171.4285714285713,656.0,2
1.0,1.0,,,,,S184H99004025,Timberline School District,Robin,Wright,robin.wright@example.edu,"Chen, Pat",pat.chen@agency.gov,5.0,1.0,0.0,5.0,6/3941,6/3941,0.0,0.0,3941.0,3941.0,No,,Yes,"Yes, includes both","No, does not include information about strategies used to support retention","Yes, includes the ratio of students to providers within each participating LEA.","Yes, includes all of these.","Yes, includes what services were provided and how grant or matching funds supported them.",,,automation@smartsheet.com,2025-06-02 07:02:51,656.8333333333334,656.8333333333334,4
1.0,1.0,,,,,S184H99004026,Upland Unified School District,Terry,Scott,terry.scott@example.edu,"Martinez, Jamie",jamie.martinez@agency.gov,26.0,18.0,18.0,16.0,31/2855,31/2855,0.0,2.0,2855.0,2855.0,No,,Yes,"Yes, includes both","No, does not include information about strategies used to support retention","No, does not include the ratio of students to providers within each participating LEA.","Yes, includes number of providers at the start of the reporting period and how many left.","Yes, includes what services were provided and how grant or matching funds supported them.",,,automation@smartsheet.com,2025-06-02 07:02:51,92.09677419354838,92.09677419354838,2
1.0,1.0,,,,,S184H99004029,Xenith Independent School District,Chris,Hill,chris.hill@example.edu,"Lewis, Kendall",kendall.lewis@agency.gov,2.0,0.0,5.0,5.0,6/200,5/294,0.0,1.0,200.0,298.0,No,,Yes,"Yes, includes successes and challenges","No, does not include information about strategies used to support retention","No, does not include the ratio of students to providers within each participating LEA.","No, includes neither.","Yes, includes what services were provided and how grant or matching funds supported them.",,,automation@smartsheet.com,2025-06-02 07:02:51,33.333333333333336,58.8,3
1.0,1.0,,,,,S184H99004030,Yarmouth Unified School District,Sam,Flores,sam.flores@example.edu,"Young, Skyler",skyler.young@agency.gov,40.0,36.0,7.0,9.0,1/267,1/159,3.0,2.0,1500.0,38413.0,No,,Yes,"Yes, includes both","Yes, includes activities and strategies used to support retention","No, does not include the ratio of students to providers within each participating LEA.","Yes, includes reasons for attrition.","Yes, includes what services were provided and how grant or matching funds supported them.",,,automation@smartsheet.com,2025-06-02 07:02:51,267.0,159.0,3
1.0,1.0,,,,,S184H99004031,Zephyr City Schools,Alex,Smith,alex.smith@example.edu,"Rivera, Dana",dana.rivera@agency.gov,0.0,3.0,17.0,14.0,86/8272,86/8272,0.0,3.0,8272.0,8272.0,No,,Yes,"Yes, includes both","Yes, includes activities and strategies used to support retention","No, does not include the ratio of students to providers within each participating LEA.","Yes, includes all of these.","Yes, includes what services were provided and how grant or matching funds supported them.",,,automation@smartsheet.com,2025-06-02 07:02:51,96.18604651162791,96.18604651162791,3
1.0,1.0,,,,,S184H99004032,Ashford Public Schools,Jordan,Johnson,jordan.johnson@example.edu,"Nguyen, Chris",chris.nguyen@agency.gov,1.0,2.0,5.0,4.0,41/7473,37/7473,1.0,3.0,275.0,107.0,No,,Yes,"Yes, includes both","Yes, includes activities and strategies used to support retention","No, does not include the ratio of students to providers within each participating LEA.","Yes, includes number of providers at the start and end of the reporting period.","Yes, includes what services were provided and how grant or matching funds supported them.",,,automation@smartsheet.com,2025-06-02 07:02:51,182.26829268292684,201.97297297297297,2
1.0,1.0,,,,,S184H99004033,Bayside Unified School District,Morgan,Williams,morgan.williams@example.edu,"Patel, Sam",sam.patel@agency.gov,6.0,6.0,5.0,5.0,60/12834,60/12834,0.0,0.0,362.0,362.0,No,,Yes,"Yes, includes both","No, does not include information about strategies used to support retention","Yes, includes the ratio of students to providers within each participating LEA.","No, includes neither.","Yes, includes what services were provided and how grant or matching funds supported them.",,,automation@smartsheet.com,2025-06-02 07:02:51,213.9,213.9,5
1.0,1.0,,,,,S184H99004034,Cedarwood County School District,Taylor,Brown,taylor.brown@example.edu,"Kim, Terry",terry.kim@agency.gov,6.0,5.0,13.0,12.0,16/3476,13/3445,3.0,2.0,535.0,1080.0,No,,Yes,"Yes, includes both","Yes, includes activities and strategies used to support retention","Yes, includes the ratio of students to providers within each participating LEA.","Yes, includes reasons for attrition.","Yes, includes what services were provided and how grant or matching funds supported them.",,,automation@smartsheet.com,2025-06-02 07:02:51,217.25,265.0,3
1.0,1.0,,,,,S184H99004035,Dunmore City Schools,Casey,Jones,casey.jones@example.edu,"Chen, Pat",pat.chen@agency.gov,7.0,7.0,2.0,8.0,1/112,8/790,2.0,1.0,727.0,673.0,No,,Yes,"Yes, includes both","Yes, includes activities and strategies used to support retention","Yes, includes the ratio of students to providers within each participating LEA.","Yes, includes number of providers at the start and end of the reporting period.","Yes, includes what services were provided and how grant or matching funds supported them.",,,automation@smartsheet.com,2025-06-02 07:02:51,112.0,98.75,3
1.0,1.0,,,,,S184H99004036,Eastfield Unified School District,Riley,Garcia,riley.garcia@example.edu,"Martinez, Jamie",jamie.martinez@agency.gov,10.0,15.0,13.0,11.0,19/3471,32/3471,0.0,2.0,3471.0,3471.0,No,,Yes,"Yes, includes both","Yes, includes activities and strategies used to support retention","Yes, includes the ratio of students to providers within each participating LEA.","Yes, includes all of these.","Yes, includes what services were provided and how grant or matching funds supported them.",,,automation@smartsheet.com,2025-06-02 07:02:51,182.68421052631578,108.46875,2
1.0,1.0,,,,,S184H99004037,Foxhill Public Schools,Avery,Miller,avery.miller@example.edu,"Robinson, Robin",robin.robinson@agency.gov,0.0,1.0,8.0,7.0,12/1733,12/1755,0.0,1.0,1733.0,1755.0,No,,Yes,"Yes, includes both","Yes, includes activities and strategies used to support retention","Yes, includes the ratio of students to providers within each participating LEA.","Yes, includes all of these.","Yes, includes what services were provided and how grant or matching funds supported them.",,,automation@smartsheet.com,2025-06-02 07:02:51,144.41666666666666,146.25,3
1.0,1.0,,,,,S184H99004038,Glenview County School District,Quinn,Davis,quinn.davis@example.edu,"Clark, Jesse",jesse.clark@agency.gov,5.0,5.0,10.0,10.0,10/2675,10/2675,0.0,0.0,490.0,490.0,No,,Yes,"Yes, includes both","Yes, includes activities and strategies used to support retention","Yes, includes the ratio of students to providers within each participating LEA.","Yes, includes all of these.","Yes, includes what services were provided and how grant or matching funds supported them.",,,automation@smartsheet.com,2025-06-02 07:02:51,267.5,267.5,5
1.0,1.0,,,,,S184H99004039,Harborview City Schools,Drew,Wilson,drew.wilson@example.edu,"Lewis, Kendall",kendall.lewis@agency.gov,0.0,2.0,2.0,2.0,15/12300,14/12300,0.0,2.0,7500.0,4105.0,No,,Yes,"Yes, includes both","Yes, includes activities and strategies used to support retention","Yes, includes the ratio of students to providers within each participating LEA.","Yes, includes all of these.","Yes, includes what services were provided and how grant or matching funds supported them.",,,automation@smartsheet.com,2025-06-02 07:02:51,820.0,878.5714285714286,3
1.0,1.0,,,,,S184H99004040,Ivywood Unified School District,Reese,Moore,reese.moore@example.edu,"Young, Skyler",skyler.young@agency.gov,4.0,12.0,16.0,39.0,43/66474,62/66474,35.0,57.0,532.0,1191.0,No,Cover Letter as Executive Summary,Yes,"Yes, includes both","Yes, includes activities and strategies used to support retention","Yes, includes the ratio of students to providers within each participating LEA.","Yes, includes all of these.","Yes, includes what services were provided and how grant or matching funds supported them.",,,automation@smartsheet.com,2025-06-02 07:02:51,1545.906976744186,1072.1612903225807,3
1.0,1.0,,,,,S184H99004041,Jasper County Schools,Sage,Anderson,sage.anderson@example.edu,"Rivera, Dana",dana.rivera@agency.gov,10.0,12.0,12.0,10.0,318/75383,28/69760,1.0,4.0,1802.0,3077.0,No,,Yes,"Yes, includes both","Yes, includes activities and strategies used to support retention","Yes, includes the ratio of students to providers within each participating LEA.","Yes, includes all of these.","Yes, includes what services were provided and how grant or matching funds supported them.",,,automation@smartsheet.com,2025-06-02 07:02:51,237.05345911949686,2491.4285714285716,3
1.0,1.0,,,,,S184H99004043,Longview Unified School District,Hayden,Thomas,hayden.thomas@example.edu,"Patel, Sam",sam.patel@agency.gov,0.0,4.0,12.0,13.0,24/12889,23/12940,0.0,6.0,1300.0,893.0,No,,Yes,"Yes, includes both","Yes, includes activities and strategies used to support retention","Yes, includes the ratio of students to providers within each participating LEA.","Yes, includes number of providers at the start of the reporting period and how many left.","Yes, includes what services were provided and how grant or matching funds supported them.",,,automation@smartsheet.com,2025-06-02 07:02:51,537.0416666666666,562.6086956521739,3
1.0,1.0,,,,,S184H99004044,Meadowfield City Schools,Cameron,Jackson,cameron.jackson@example.edu,"Kim, Terry",terry.kim@agency.gov,22.0,30.0,12.0,40.0,34/16020,40/16020,0.0,3.0,16020.0,16020.0,No,na,Yes,"Yes, includes both","Yes, includes activities and strategies used to support retention","Yes, includes the ratio of students to providers within each participating LEA.","Yes, includes all of these.","Yes, includes what services were provided and how grant or matching funds supported them.",,,automation@smartsheet.com,2025-06-02 07:02:51,471.1764705882353,400.5,3
1.0,1.0,,,,,S184H99004045,Northgate County School District,Peyton,White,peyton.white@example.edu,"Chen, Pat",pat.chen@agency.gov,2.0,2.0,3.0,3.0,18/4254,18/4254,0.0,2.0,53091.0,53091.0,No,na,Yes,"Yes, includes both","Yes, includes activities and strategies used to support retention","Yes, includes the ratio of students to providers within each participating LEA.","Yes, includes all of these.","Yes, includes what services were provided and how grant or matching funds supported them.",,,automation@smartsheet.com,2025-06-02 07:02:51,236.33333333333334,236.33333333333334,4
1.0,1.0,,,,,S184H99004046,Overlook Public Schools,Sydney,Harris,sydney.harris@example.edu,"Martinez, Jamie",jamie.martinez@agency.gov,8.0,9.0,6.0,6.0,1/250,2/765,0.0,3.0,765.0,410.0,No,na,Yes,"Yes, includes both","Yes, includes activities and strategies used to support retention","Yes, includes the ratio of students to providers within each participating LEA.","Yes, includes all of these.","Yes, includes what services were provided and how grant or matching funds supported them.",,,automation@smartsheet.com,2025-06-02 07:02:51,250.0,382.5,3
1.0,1.0,,,,,S184H99004047,Plainfield Unified School District,Harper,Martin,harper.martin@example.edu,"Robinson, Robin",robin.robinson@agency.gov,5.0,5.0,9.0,7.0,9/1056,7/1056,9.0,7.0,1085.0,1056.0,No,,Yes,"Yes, includes successes and challenges","Yes, includes activities and strategies used to support retention","Yes, includes the ratio of students to providers within each participating LEA.","Yes, includes all of these.","Yes, includes what services were provided and how grant or matching funds supported them.",,,automation@smartsheet.com,2025-06-02 07:02:51,117.33333333333333,150.85714285714286,3
1.0,1.0,,,,,S184H99004048,Quarryhill City Schools,Emerson,Thompson,emerson.thompson@example.edu,"Clark, Jesse",jesse.clark@agency.gov,41.0,200.0,634.0,539.0,685/93155,839/98603,132.0,132.0,39464.0,84329.0,No,,Yes,"Yes, includes both","Yes, includes activities and strategies used to support retention","Yes, includes the ratio of students to providers within each participating LEA.","Yes, includes number of providers at the start of the reporting period and how many left.","Yes, includes what services were provided and how grant or matching funds supported them.",,,automation@smartsheet.com,2025-06-02 07:02:51,135.992700729927,117.52443384982122,3
1.0,1.0,,,,,S184H99004049,Ravenwood County School District,Logan,Lee,logan.lee@example.edu,"Lewis, Kendall",kendall.lewis@agency.gov,4.0,1.0,3.0,3.0,13/7935,9/7935,0.0,0.0,1530.0,1970.0,No,na,No,"Yes, includes both","Yes, includes activities and strategies used to support retention","Yes, includes the ratio of students to providers within each participating LEA.","Yes, includes all of these.","Yes, includes what services were provided and how grant or matching funds supported them.",,,automation@smartsheet.com,2025-06-02 07:02:51,610.3846153846154,881.6666666666666,4
1.0,1.0,,,,,S184H99004051,Thornfield Unified School District,Dakota,Hall,dakota.hall@example.edu,"Rivera, Dana",dana.rivera@agency.gov,10.0,13.0,5.0,11.0,1/250,114/24266,0.0,0.0,1500.0,1126.0,No,na,Yes,"Yes, includes both","Yes, includes activities and strategies used to support retention","Yes, includes the ratio of students to providers within each participating LEA.","Yes, includes all of these.","Yes, includes what services were provided and how grant or matching funds supported them.",,,automation@smartsheet.com,2025-06-02 07:02:51,250.0,212.859649122807,3
1.0,1.0,,,,,S184H99004052,Underhill City Schools,Kendall,Allen,kendall.allen@example.edu,"Nguyen, Chris",chris.nguyen@agency.gov,2.0,2.0,11.0,10.0,78/12689,75/12614,2.0,2.0,1000.0,4913.0,No,na,Yes,"Yes, includes both","Yes, includes activities and strategies used to support retention","Yes, includes the ratio of students to providers within each participating LEA.","Yes, includes all of these.","Yes, includes what services were provided and how grant or matching funds supported them.",,,automation@smartsheet.com,2025-06-02 07:02:51,162.67948717948718,168.18666666666667,4
1.0,1.0,,,,,S184H99004053,Valewood County School District,Skyler,Young,skyler.young@example.edu,"Patel, Sam",sam.patel@agency.gov,1.0,1.0,1.0,1.0,46/17617,47/17617,0.0,0.0,500.0,9767.0,No,na,Yes,"Yes, includes both","Yes, includes activities and strategies used to support retention","Yes, includes the ratio of students to providers within each participating LEA.","Yes, includes number of providers at the start and end of the reporting period.","Yes, includes what services were provided and how grant or matching funds supported them.",,,automation@smartsheet.com,2025-06-02 07:02:51,382.9782608695652,374.82978723404256,4
1.0,1.0,,,,,S184H99004054,Whitmore Public Schools,Jamie,King,jamie.king@example.edu,"Kim, Terry",terry.kim@agency.gov,648.0,363.0,2203.0,1833.0,2203/324311,1833/324311,0.0,7.0,3860.0,14538.0,No,na,No,"Yes, includes both","Yes, includes activities and strategies used to support retention","Yes, includes the ratio of students to providers within each participating LEA.","Yes, includes number of providers at the start of the reporting period and how many left.","Yes, includes what services were provided and how grant or matching funds supported them.",,,automation@smartsheet.com,2025-06-02 07:02:51,147.21334543803903,176.9290780141844,2
1.0,1.0,,,,,S184H99004056,Coldwater City Schools,Terry,Scott,terry.scott@example.edu,"Martinez, Jamie",jamie.martinez@agency.gov,16.0,11.0,77.0,76.0,99/13206,94/13206,9.0,11.0,660.0,703.0,No,na,Yes,"Yes, includes both","Yes, includes activities and strategies used to support retention","Yes, includes the ratio of students to providers within each participating LEA.","Yes, includes all of these.","Yes, includes what services were provided and how grant or matching funds supported them.",,,automation@smartsheet.com,2025-06-02 07:02:51,133.3939393939394,140.48936170212767,2
